Title,Price,Location,Contact
F2 F3 F4 à louer aux maristes,450 000 F Cfa,"Hann maristes, Dakar","777028308, +33651019638, 777028308"
Chambre d'hôte dans un appartement meublé,7 500 F Cfa,"Ouakam, Dakar",786839721
Appartement F4 de haut standing au virage,1 000 000 F Cfa,"Virage, Dakar","772251409, 760121325"
Joli appart F5 a Ngor Almadies,850 000 F Cfa,"Ngor, Dakar","772251409, 760121325"
Appartement F4 avec piscine aux Almadies,1 000 000 F Cfa,"Almadies, Dakar","772251409, 760121325"
Très joli studio à louer à Ngor Almadies,750 000 F Cfa,"Ngor, Dakar","772251409, 760121325"
Appartement F4 a Ngor Almadies,400 000 F Cfa,"Ngor, Dakar","772251409, 760121325"
Appartement F4 haut standing aux Mamelles,1 050 000 F Cfa,"Mamelles, Dakar","772251409, 760121325"
Très joli studio meublé corniche Ouakam Mamelles,500 000 F Cfa,"Ouakam, Dakar","772251409, 760121325"
Studio à louer,15 000 F Cfa,"Hann maristes, Dakar",778652949
Bel Immeuble à vendre Keur Massar,70 000 000 F Cfa,"Keur Massar, Dakar",775225352
Appartements meublés de type F3 et F4 à louer,50 000 F Cfa,"Cité keur gorgui, Dakar","774597459, 763922308"
Appartements d'exception aux Almadies Vue Mer,1 500 000 F Cfa,"Almadies, Dakar",786391616
Programme immobilier Onyx Bambilor,10 500 000 F Cfa,"Bambilor, Dakar",763623458
Maison à louer,450 000 F Cfa,"Malicounda, Thiès",775277898
Bureau équipé plus fibre optique,45 000 F Cfa,"VDN, Dakar",773054513
Studio meublé haut standing,30 000 F Cfa,"Cité keur gorgui, Dakar","775158519, 775158519"
Très beau 3ch salon aux Almadies,1 500 000 F Cfa,"Almadies, Dakar",773426785
Très grand F3 Dakar Plateau Corniche Est Gorée View,2 400 000 F Cfa,"Plateau, Dakar",773426785
Appartement neuf à louer fann résidence,2 300 000 F Cfa,"Fann, Dakar",775597743
